240718190839714 ThreadServer.run()	INFO: (1) > Thread waiting for new client....
240718190859043 ThreadServer.run()	INFO: (1) > Thread Accepting connection >
240718190859051 Request.getData()	INFO: MENSAJE:[16] /arch.html
240718190859052 Request.getData()	INFO: MENSAJE:[16] /arch.html
240718190859056 Request.getData()	INFO: (1) request: [GET /arch.html HTTP/1.1, Host: localhost:1000, Connection: keep-alive, sec-ch-ua: "Not/A)Brand";v="8", "Chromium";v="126", "Brave";v="126", sec-ch-ua-mobile: ?0, sec-ch-ua-platform: "Windows", Upgrade-Insecure-Requests: 1, User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36, Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8, Sec-GPC: 1, Accept-Language: en-US,en, Sec-Fetch-Site: none, Sec-Fetch-Mode: navigate, Sec-Fetch-User: ?1, Sec-Fetch-Dest: document, Accept-Encoding: gzip, deflate, br, zstd, ]
240718190859059 Response.sendData()	INFO: RESPUESTAGET /arch.html HTTP/1.1 
240718190859064 Response.sendData()	INFO: (1) response: [HTTP/1.1 200 OK, Content-Type: text/html, ClaseCC8: Alumnos, Content-Length: 18, , <b>Hola Mundo!</b>]
240718190859065 Response.sendData()	INFO: (1) request: GET /arch.html HTTP/1.1 || Host: localhost:1000 || Connection: keep-alive || sec-ch-ua: "Not/A)Brand";v="8", "Chromium";v="126", "Brave";v="126" || sec-ch-ua-mobile: ?0 || sec-ch-ua-platform: "Windows" || Upgrade-Insecure-Requests: 1 || User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 || Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8 || Sec-GPC: 1 || Accept-Language: en-US,en || Sec-Fetch-Site: none || Sec-Fetch-Mode: navigate || Sec-Fetch-User: ?1 || Sec-Fetch-Dest: document || Accept-Encoding: gzip, deflate, br, zstd || 
240718190859074 ThreadServer.run()	INFO: (1) > Thread :: Time: 23 milliseconds
240718190859075 ThreadServer.run()	INFO: (1) > END #
240718190904080 ThreadServer.run()	INFO: (1) > Thread waiting for new client....
