240718184150180 ThreadServer.run()	INFO: (1) > Thread waiting for new client....
240718184155625 ThreadServer.run()	INFO: (1) > Thread Accepting connection >
240718184155632 Request.getData()	INFO: MENSAJE:[17] /arch.html
240718184155633 Request.getData()	INFO: MENSAJE:[17] /arch.html
240718184155635 Request.getData()	INFO: (1) request: [GET /arch.html HTTP/1.1, Host: localhost:1000, Connection: keep-alive, Cache-Control: max-age=0, sec-ch-ua: "Not/A)Brand";v="8", "Chromium";v="126", "Brave";v="126", sec-ch-ua-mobile: ?0, sec-ch-ua-platform: "Windows", Upgrade-Insecure-Requests: 1, User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36, Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8, Sec-GPC: 1, Accept-Language: en-US,en, Sec-Fetch-Site: none, Sec-Fetch-Mode: navigate, Sec-Fetch-User: ?1, Sec-Fetch-Dest: document, Accept-Encoding: gzip, deflate, br, zstd, ]
240718184155640 Response.sendData()	INFO: RESPUESTAGET /arch.html HTTP/1.1 
240718184155644 Response.sendData()	INFO: (1) response: [HTTP/1.1 200 OK, Content-Type: text/html, ClaseCC8: Alumnos, Content-Length: 18, , <b>Hola Mundo!</b>]
240718184155645 Response.sendData()	INFO: (1) request: GET /arch.html HTTP/1.1 || Host: localhost:1000 || Connection: keep-alive || Cache-Control: max-age=0 || sec-ch-ua: "Not/A)Brand";v="8", "Chromium";v="126", "Brave";v="126" || sec-ch-ua-mobile: ?0 || sec-ch-ua-platform: "Windows" || Upgrade-Insecure-Requests: 1 || User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 || Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8 || Sec-GPC: 1 || Accept-Language: en-US,en || Sec-Fetch-Site: none || Sec-Fetch-Mode: navigate || Sec-Fetch-User: ?1 || Sec-Fetch-Dest: document || Accept-Encoding: gzip, deflate, br, zstd || 
240718184155650 ThreadServer.run()	INFO: (1) > Thread :: Time: 19 milliseconds
240718184155652 ThreadServer.run()	INFO: (1) > END #
240718184200655 ThreadServer.run()	INFO: (1) > Thread waiting for new client....
240718184306401 ThreadServer.run()	INFO: (1) > Thread Accepting connection >
240718184306401 Request.getData()	INFO: MENSAJE:[17] /test01/
240718184306402 Request.getData()	INFO: MENSAJE:[17] /test01/
240718184306402 Request.getData()	INFO: (1) request: [GET /test01/ HTTP/1.1, Host: localhost:1000, Connection: keep-alive, sec-ch-ua: "Not/A)Brand";v="8", "Chromium";v="126", "Brave";v="126", sec-ch-ua-mobile: ?0, sec-ch-ua-platform: "Windows", Upgrade-Insecure-Requests: 1, User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36, Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8, Sec-GPC: 1, Accept-Language: en-US,en, Sec-Fetch-Site: same-origin, Sec-Fetch-Mode: navigate, Sec-Fetch-User: ?1, Sec-Fetch-Dest: document, Referer: http://localhost:1000/test01, Accept-Encoding: gzip, deflate, br, zstd, ]
240718184306403 Response.sendData()	INFO: RESPUESTAGET /test01/ HTTP/1.1 
